rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[ 5515146.11841307 -3963688.93266321 -2555541.99340113],[-4077.02975161 -6171.3975874    753.32600941],[ 5514955.94718892 -3962975.05390638 -2556759.16887948],[-4071.67364797 -6167.8105559    751.03052342],[-105.81688102 -611.51650969 1281.46574871],[ 2.29329304 -6.0415734   0.69005769],[-0.29060269  0.57710554 -0.07481765],[ 0.20789667 -0.06121065 -0.00478032],0.17952184969378904,12.262974393240892
[ 5474088.75611465 -4025195.0090104  -2547875.18152968],[-4134.37105493 -6129.71088204   780.02287546],[ 5473961.70168908 -4024451.41424141 -2549121.6606985 ],[-4128.05955299 -6126.74241635   777.09941939],[ -70.65866227 -673.12571965 1290.23077192],[ 3.45132442 -6.19566018  0.8702832 ],[ 0.41499456 -0.18132344 -0.25696656],[ 0.46536591 -0.04421954  0.14901773],0.20494093503763816,10.958928923273053
[ 5432460.14044718 -4086281.02175569 -2539941.81040772],[-4191.27942078 -6087.38561425   806.63738827],[ 5432389.3537125  -4085501.12398163 -2541208.78805302],[-4185.65281784 -6083.75884788   804.5944292 ],[ -48.69637562 -736.07728391 1293.94843351],[ 2.13081847 -6.31637066  0.36556929],[ 0.22892859 -0.03227617 -0.50712573],[ 0.46251749  0.17619825 -0.01804478],0.19229075457333616,9.669592032541898
[ 5390264.6308445  -4146940.60780674 -2531742.71768942],[-4247.74884535 -6044.42630193   833.16672506],[ 5390246.01116091 -4146116.74801338 -2533017.06245237],[-4242.53242794 -6040.03395962   832.43689017],[ -40.03800624 -801.94191277 1287.76253758],[ 0.79769704 -6.59404042 -0.62472057],[-0.43045304  0.33867494 -0.57988946],[0.20486715 0.192085   0.06404692],0.18952172485836127,8.10306357046296
[ 5347506.6465368  -4207167.44959467 -2523278.76920852],[-4303.7733733  -6000.83753177   859.60807276],[ 5347533.04205303 -4206307.9702103  -2524551.07721857],[-4299.27232369 -5997.27967471   859.81860094],[ -36.43906327 -856.08857793 1274.34443903],[ 0.30386198 -5.41711314 -1.34783074],[ 0.17232296 -0.01666947 -0.49371113],[ 0.21903702 -0.02941428  0.05934809],0.15776065307901063,6.670573051465012
[ 5304190.66606243 -4266955.27575894 -2514550.85888014],[-4359.34709845 -5956.62395866   885.95862822],[ 5304260.89098718 -4266057.29048201 -2515838.17321799],[-4354.96479689 -5952.77770934   884.46486843],[ -30.61302136 -914.03954174 1277.52959306],[ 0.52274916 -5.79982864  0.31254906],[ 0.47433001 -0.17452509 -0.49057915],[-0.02965468 -0.01967822 -0.1047278 ],0.16274129311573424,4.923117181233455
[ 5260321.22677298 -4326297.86182678 -2505559.90859933],[-4414.46416445 -5911.79030518   912.21559865],[ 5260450.33994444 -4325354.06772657 -2506868.82020236],[-4408.57613238 -5907.21408702   910.06278615],[ -17.14197307 -987.76286873 1282.45770578],[ 1.27124043 -7.38484572  0.48686723],[-0.08358292  0.5171627  -0.61275055],[-0.28827751 -0.22983578 -0.08811319],0.2102210409761075,3.114531556543816
[ 5215902.92433163 -4385189.03088698 -2496306.86813627],[-4469.11876543 -5866.34136097   938.37620188],[ 5216099.16019338 -4384204.7569549  -2497637.4789891 ],[-4462.40741312 -5862.29843497   936.21320287],[    3.98678994 -1062.62057421  1283.99787744],[ 2.03611836 -7.50612736  0.14811682],[ 0.47486293 -0.33278685 -0.61491859],[-0.27639899 -0.04984251  0.02219873],0.22566383558595557,2.1371609532609877
[ 5170940.41220486 -4443622.65425804 -2486792.7150283 ],[-4523.30514672 -5820.28198223   964.4376667 ],[ 5171199.59063715 -4442592.25115898 -2488142.8945179 ],[-4517.0119701  -5815.67449967   962.48775196],[   16.40968872 -1139.60007715  1285.66366003],[ 1.16363338 -7.70938761  0.16072732],[ 0.09768711  0.31108999 -0.43075676],[-0.27850254 -0.06441182  0.03784667],0.22885544816845663,1.3997489897178679
[ 5125438.40114755 -4501592.6521506  -2477018.45446864],[-4577.01760541 -5773.61709109   990.39723319],[ 5125748.07313641 -4500518.43725705 -2478394.11734188],[-4571.96952973 -5769.24165563   987.85592469],[   21.9181556  -1208.25329184  1296.8910117 ],[ 0.48086996 -6.86971084  1.11690095],[-0.76449245  0.20392765  0.36807727],[-0.29427898 -0.04015935 -0.09124997],-0.7986299580461502,0.0
