rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[6384563.8160854   747703.89475938 2720346.28369548],[  647.34531259 -7526.30090536   313.50483936],[6383787.68330926  746920.61421915 2719922.30362235],[  639.76414472 -7528.61971025   309.96331892],[-959.05355833  684.08522109   88.95659537],[-7.82203267  2.44706464  0.2928696 ],[-0.19476048  0.22670426 -0.62126895],[-0.14166131  0.19050292  0.17360494],0.23607534918197176,17.904507112566204
[6390662.82956395  672398.52478868 2723321.35040806],[  572.4405621  -7534.6264653    281.50058485],[6389818.37727731  671587.03482424 2722871.36146352],[  565.59724981 -7537.44446853   278.89536757],[-1027.01220446   715.48796541    86.18921196],[-6.77916885  3.2138813  -0.27650221],[-0.49698711 -0.48866694  0.33208573],[ 0.13218428  0.19774905 -0.01820765],0.21341315278056733,16.590775452163314
[6396012.30542027  597014.30065456 2725976.14324874],[  497.43923965 -7542.07146865   249.45068626],[6395097.2067536   596184.50351558 2725490.44224095],[  490.36248495 -7543.89903943   245.87484128],[-1099.46807834   738.03287603    91.38790493],[-7.239717    2.33304287  0.52012592],[-0.53758633 -0.05973801  0.06421571],[-0.05568659  0.1864427   0.00020073],0.21593488183571471,15.199042298631028
[6400611.32152131  521560.03583657 2728310.22443337],[  422.35006668 -7548.6343495    217.35887673],[6399611.54260742  520712.1935689  2727776.71549451],[  413.86901857 -7550.43551899   212.57311263],[-1189.12840443   760.62758505   102.20318003],[-8.96151906  2.35670215  1.0817579 ],[-0.1821249   0.06784806 -0.67476461],[ 0.15421326  0.19513324 -0.13997943],0.2511592267477302,13.371182230987323
[6404459.04307094  446044.55896778 2730323.19356312],[  347.18178896 -7554.31364315   185.22890013],[6403382.79009068  445177.51152352 2729731.18605293],[  339.52039302 -7556.23058849   179.37378191],[-1275.13913496   786.56818834   126.07661087],[-8.59448419  2.68735451  2.38748509],[-0.35211936  0.66658675  0.57311792],[ 0.14424909 -0.00158907  0.01494854],0.255907509350041,12.009443360880622
[6407554.72284798  370476.71282003 2732014.68772954],[  271.94317557 -7559.10798663   153.06451059],[6406411.40893593  369590.18940225 2731365.26139128],[  265.2221958  -7561.05173823   147.31714539],[-1351.65859941   815.20643567   152.65169001],[-7.6438743   2.94683232  2.65752847],[0.22459999 0.5629173  0.47027725],[-0.07565205 -0.19260258  0.17617674],0.24486839016431564,11.031706289222154
[6409897.7014346   294865.35328408 2733384.38161551],[  196.64301792 -7563.01611921   120.86947218],[6408685.24434264  293954.71389899 2732688.64382495],[  189.71298683 -7565.42354304   116.23261217],[-1425.45130249   850.38818977   168.2137737 ],[-7.36542785  3.59820943  1.55614792],[ 0.34053664 -0.40915156 -0.00686939],[-0.31653392 -0.20309784  0.08699836],0.23655151213405162,9.801710105259275
[6411487.40743482  219219.3483447  2734431.98759208],[  121.29012881 -7566.03688291    88.6475584 ],[6410203.22216691  218298.0783683  2733675.14890413],[  114.10072461 -7567.09545896    82.53153157],[-1506.37932661   873.47657225   196.30326895],[-8.09343734  2.39668271  2.80878728],[-0.43706712 -0.28292847 -0.48645055],[-0.31008708  0.00071991  0.05264279],0.24143128328776253,7.801710105259275
[6412323.35768311  143547.57705074 2735157.25581108],[   45.89334137 -7568.16922296    56.40255183],[6410958.28579507  142610.52124255 2734356.36145291],[   37.78720631 -7569.74299011    51.99076431],[-1588.80323982   903.62986166   205.14375047],[-8.23680213  3.10478002  0.88382232],[-0.01724395 -0.29415536  0.13481614],[-0.30726929  0.20097703 -0.12176518],0.2407488049010103,5.801710105259275
[6412405.15744291   67858.92848038 2735559.97429357],[  -29.53849192 -7569.41218835    24.13824366],[6410948.6140628    66914.01129048 2734730.19805264],[  -38.70398156 -7570.19316726    21.24344084],[-1674.44123558   927.79830083   195.83816135],[-8.56618896  2.50983973 -0.93073174],[-0.34039824  0.0927004  -0.29330186],[-0.07376511  0.19511568  0.0501465 ],0.24388285390187409,3.801710105259275
[6411732.50059494   -7837.69929836 2735639.96901392],[ -104.99650025 -7569.7649322     -8.14156671],[6410187.24080508   -8807.21978504 2734791.48934599],[ -113.88728006 -7572.21967635   -10.01896281],[-1753.1805389    970.70764861   178.32610039],[-7.85743125  4.37641787 -1.75126438],[ 0.37639731  0.58227181 -0.5265273 ],[0.16272394 0.1976261  0.03930764],0.2482478165251223,1.8017101052592752
[6410305.16981514  -83533.40027173 2735397.1039797 ],[ -180.47179555 -7569.22671231   -40.43307211],[6408673.81911139  -84539.3127335  2734542.96150779],[ -189.10070815 -7572.85978851   -41.00685992],[-1823.49836927  1027.18429163   149.90160109],[-7.00186866  5.7240043  -2.84231502],[-0.17381555  0.03236854  0.30806058],[ 0.17007464 -0.0076427  -0.11581474],-0.7428610211103993,-2.220446049250313e-16
[-2378052.31230222 -3099104.04195176 -5707184.08313453],[  344.9577747   6668.15817243 -3845.48440131],[-2378215.19192994 -3099039.65317974 -5707880.44575449],[  344.54130406  6670.46139327 -3845.37917741],[601.79841832 390.77149629  27.07188501],[-0.54036456  1.26012442 -0.90012241],[-0.48085164 -0.46058322 -0.28542179],[ 1.77162181e-05 -6.00555826e-05 -6.15526756e-05],-0.07478734163415478,48.8084116476994
[-2374460.02894118 -3032237.73284583 -5745294.55280298],[  373.49000854  6704.96763911 -3776.53716561],[-2374630.92774097 -3032141.30419311 -5745999.75187339],[  372.68538123  6708.16633005 -3777.42560185],[602.16079708 415.90641983  15.32442956],[ 0.07516376  2.5131304  -1.17511854],[0.52636601 0.07510131 0.80832127],[-0.28073922  0.13574676 -0.04237072],0.0175677819773813,47.41708550792695
[-2370582.69605321 -2965007.41633772 -5782713.39473384],[  401.96706583  6740.95895941 -3707.16041686],[-2370756.94787818 -2964876.35638809 -5783437.86091192],[  401.62906043  6744.41665974 -3709.09195254],[609.16709469 448.55418291  10.30765896],[ 0.747967    3.25698486 -0.50202535],[0.0059296  0.34412136 0.2608146 ],[ 0.31407856  0.11167055 -0.03499736],0.05738347685104678,46.24932859117673
[-2366420.88380741 -2897421.29447561 -5819436.36077252],[  430.38526828  6776.1280384  -3637.36355856],[-2366599.00547922 -2897247.09906393 -5820170.99884905],[  429.99560948  6780.43602088 -3638.38555264],[6.05938179e+02 4.84358481e+02 5.09139017e-01],[-0.27201214  3.58402892 -0.98017539],[0.61900549 0.3000261  0.09066461],[-0.04488216 -0.12334906  0.24192382],0.07530736091132363,44.98878609721732
[-2361975.19908158 -2829487.60959782 -5855459.29704536],[  458.74095256  6810.47091304 -3567.15604306],[-2362171.59634391 -2829279.3831579  -5856193.93697115],[  456.91082443  6813.86835879 -3567.16102672],[603.61601201 506.66646133 -23.72261573],[-0.19643108  2.2334431  -2.42340925],[ 0.0488382  0.0165748 -0.048528 ],[-0.32528214  0.18747381 -0.12917489],0.045124352611757915,43.00822867454489
[-2357246.28530932 -2761214.64301226 -5890778.14443821],[  487.03047095  6843.98375252 -3496.54736956],[-2357457.30640272 -2760981.37858731 -5891499.96872993],[  485.56566926  6846.48189086 -3495.27059194],[593.29813047 515.59125928 -46.21129365],[-1.01101722  0.9040651  -2.24898097],[0.20914807 0.94655693 0.24311916],[-0.10198     0.18231371  0.24907093],0.006186749152766617,41.39790967540659
[-2352234.82232049 -2692610.71367284 -5925388.93905464],[  515.25019202  6876.66285848 -3425.54708208],[-2352451.31369725 -2692341.88782196 -5926112.26284805],[  514.70084674  6880.21330576 -3425.701784  ],[588.30529707 541.13478303 -58.33685342],[-0.46017918  2.55993081 -1.21258425],[ 0.50189224 -0.59129891  0.35828366],[-0.46495268 -0.00460605  0.18603516],0.018860593557211945,39.39790967540659
[-2346941.52617509 -2623684.17685329 -5959287.81265406],[  543.39650129  6908.50466535 -3354.16476743],[-2347159.37872234 -2623369.7541266  -5960013.10464994],[  543.25814025  6913.05856599 -3354.36625769],[579.16014764 576.4038746  -68.57083514],[-0.86473475  3.53706366 -1.02338169],[-0.32540603 -0.26328631 -0.48553293],[-2.28006794e-01 -1.04049748e-02 -8.16461672e-05],0.08033589684887074,38.30052741037363
[-2341367.14899071 -2554443.4228188  -5992470.99306954],[  571.46580183  6939.50574045 -3282.41005319],[-2341596.79421834 -2554069.70604145 -5993208.40990013],[  570.28437188  6945.42916329 -3283.62714375],[578.13886427 627.76265998 -88.62414247],[-0.03458009  5.13693283 -2.00524121],[0.49463693 0.10222443 0.79005537],[ 0.03635633 -0.0748496  -0.0181977 ],0.14437632549470225,36.30052741037363
[-2335512.47876362 -2484896.87549591 -6024934.80460556],[  599.45451492  6969.6627842  -3210.29260573],[-2335749.07111551 -2484481.96319687 -6025691.71299431],[  598.75765744  6973.77613126 -3212.24642733],[589.60291016 666.13900566 -98.31428834],[ 1.1995723   3.82485755 -0.96888537],[-0.19896512 -0.08699031 -0.51547118],[0.03392471 0.21531446 0.11567278],0.08847267989942376,34.30052741037363
[-2329378.3391836  -2415052.9911411  -6056675.66841565],[  627.35908069  6998.97263021 -3137.82212816],[-2329630.57617905 -2414601.22402411 -6057434.63161237],[  625.79252865  7002.65175605 -3138.03234961],[ 591.17657053  692.69735231 -120.09498072],[ 0.19750388  2.65410373 -2.17786376],[ 0.08880451  0.20012548 -0.53513429],[-0.08347023  0.03767674 -0.08959033],0.05443083807839248,32.30052741037363
[-2322965.5894427  -2344920.25700833 -6087690.10286009],[  655.17595867  7027.43224538 -3065.00835838],[-2323215.94921815 -2344440.97554262 -6088448.63592995],[  655.3616353   7030.17725931 -3064.97010872],[ 588.51263957  711.33259066 -124.18525332],[-0.23508381  1.86652432 -0.40878379],[-0.03340305 -0.94014398  0.31841454],[-0.1319476   0.01307375  0.03211994],-0.04745391786767801,30.300527410373633
[-2316275.12403794 -2274507.1900161  -6117974.72384372],[  682.90162842  7055.03872992 -2991.86106708],[-2316525.23263515 -2274006.98281494 -6118746.53896728],[  682.92466262  7057.12481059 -2993.19414576],[ 601.15497543  729.06962654 -124.62068298],[ 1.29460186  1.75970667 -0.04330557],[ 0.34756652  0.38366965 -0.32884789],[ 0.23040461 -0.23970096  0.13773483],-0.02082467705808628,28.78511963388205
[-2309307.87256821 -2203822.33541416 -6147526.24513397],[  710.53259011  7081.78931736 -2918.39005576],[-2309576.67954519 -2203302.40345288 -6148305.0107542 ],[  708.6606732   7083.75521448 -2919.09018399],[ 615.34138146  741.34000767 -144.33400077],[ 1.44316274  1.21135838 -1.97103022],[-0.4449235  -0.60604894 -0.31192183],[ 0.09591669 -0.29564726  0.1002879 ],0.013140359999516918,26.78511963388205
[-2302064.79952528 -2132874.26545051 -6176341.47865923],[  738.06536508  7107.6813745  -2844.60515478],[-2302344.69689834 -2132340.48205069 -6177141.83616547],[  736.95420648  7109.05983513 -2846.76972496],[ 642.20440976  753.93837241 -151.62394886],[ 2.7115316   1.23007869 -0.72863613],[-0.37412528 -0.05912912  0.6217881 ],[ 0.18422586 -0.07790659  0.04257661],0.03732854021688545,25.044920865640258
[-2294546.90407923 -2061671.57803882 -6204417.33478763],[  765.49649642  7132.71240141 -2770.51622141],[-2294838.40779123 -2061136.60886108 -6205223.81401928],[  764.3337044   7132.82427376 -2771.13407839],[ 659.50505532  748.79289894 -161.05111873],[ 1.73599673 -0.5336117  -0.94231765],[ 0.08939606 -0.11407869  0.42006862],[-0.12035697 -0.06795345 -0.15792133],-0.03447481020251318,23.044920865640258
[-2286755.21985836 -1990222.89542662 -6231750.82258643],[  792.82254949  7156.88003122 -2696.13313789],[-2287064.20627299 -1989681.16774061 -6232548.62343078],[  791.0721779   7157.54922715 -2695.27118578],[ 663.79666527  742.93128097 -181.25886567],[ 0.43450064 -0.59078938 -2.02027477],[-0.27534225 -0.50795533 -0.02204755],[-0.14965298 -0.0432771   0.0876177 ],-0.02337504088519464,21.344745731307203
[-2278690.81472359 -1918536.86286474 -6258339.05006212],[  820.04011249  7180.18203011 -2621.4658095 ],[-2279026.11123527 -1917983.72598975 -6259125.41230469],[  817.40713498  7181.31634359 -2620.32799794],[ 667.15977198  739.54275396 -211.48069291],[ 0.34445576 -0.34247318 -3.0215206 ],[-0.4843309  -0.21311105 -0.00112633],[0.10802266 0.12984228 0.05168137],0.0444511508876343,20.303750356720734
[-2270354.79053762 -1846622.14727814 -6284179.22438131],[  847.14579696  7202.61629706 -2546.52416266],[-2270711.61011104 -1846057.84220327 -6284963.95928255],[  844.99162853  7203.7265324  -2546.36767945],[ 677.91780182  739.61802347 -234.43959573],[ 1.08789888 -0.00432631 -2.29507676],[ 0.1600615   0.19000672 -0.29486832],[ 0.20397906  0.30362311 -0.02254483],0.01148400567911275,19.221275184584538
[-2261748.28292884 -1774487.43593848 -6309268.65207264],[  874.1362383   7224.18086371 -2471.31814304],[-2262109.0977134  -1773915.29300162 -6310042.87175691],[  873.73491757  7224.95813108 -2470.27299073],[ 675.80312037  735.74565888 -242.73326183],[-0.20366591 -0.38481761 -0.82847704],[-0.39947781  0.11035234 -0.30767663],[0.1730048  0.32204437 0.07058871],-0.13359209799150562,17.221275184584538
[-2252872.46105021 -1702141.43513882 -6333604.73920974],[  901.00809628  7244.87389411 -2395.85771367],[-2253246.87144431 -1701567.53102883 -6334370.11586224],[  899.64680341  7245.04359134 -2394.97990479],[ 679.82221449  725.58494138 -258.29971039],[ 0.40274678 -1.02043092 -1.55567658],[ 0.55514467  0.37956167 -0.30815278],[0.20702493 0.30239485 0.079304  ],-0.03641710742267398,16.084452922844502
[-2243728.52733308 -1629592.86887048 -6357184.99157551],[  927.75805553  7264.69368449 -2320.15285306],[-2244123.06536296 -1629030.18441138 -6357942.81754308],[  925.7436376   7263.56543639 -2319.40449495],[ 690.04449427  702.65478215 -276.92798293],[ 1.00903955 -2.3042054  -1.86174887],[-0.03343241  0.07470674 -0.34225115],[ 0.19134358  0.27237878 -0.10251324],0.04447154998425036,14.639539003596141
[-2234317.71723618 -1556850.47750268 -6380007.01480773],[  954.38282603  7283.63866301 -2244.21355337],[-2234736.67701484 -1556306.20371365 -6380774.17365895],[  951.93902423  7281.79145049 -2245.15392929],[ 718.36441181  676.87801473 -293.39850304],[ 2.81598157 -2.60890383 -1.64585612],[-0.72728026  0.00387166 -0.09582891],[0.14503418 0.27414393 0.07777608],0.0936633340429579,12.772575108549416
[-2224641.29898986 -1483923.01646488 -6402068.51452621],[  980.87914356  7301.7073894  -2168.04981853],[-2225081.11368502 -1483407.92658166 -6402828.60997671],[  978.79206885  7298.78306975 -2167.35091604],[ 732.22398088  636.37371609 -308.83034669],[ 1.35404687 -4.0655953  -1.54187713],[ 0.2942045   0.19386741 -0.31522703],[0.3175131  0.2684732  0.06889622],0.10858894102172645,10.772575108549416
[-2214700.5733356  -1410819.2549323  -6423367.29644161],[ 1007.24377018  7318.89855473 -2091.67166248],[-2215163.99288692 -1410335.30641015 -6424111.0245753 ],[ 1004.88180898  7315.77877991 -2090.04261836],[ 737.93518033  591.01209486 -329.0163565 ],[ 0.5340338  -4.54230394 -2.01715466],[-0.4023183  -0.15037973 -0.43794874],[ 0.05539564  0.27484326 -0.09875565],0.13642297136705941,9.771740117664079
[-2204496.87326097 -1337547.97451476 -6443901.26644604],[ 1033.47349468  7335.21098096 -2015.08910727],[-2204982.4062721  -1337099.07166467 -6444643.05137042],[ 1031.26074836  7331.70106792 -2014.90277978],[ 756.40051636  545.63655135 -342.98682257],[ 1.8096517  -4.55782092 -1.39547256],[ 0.29542372  0.17313702 -0.73628219],[ 0.06028528  0.27391785 -0.10194308],0.13526828391761844,8.287520161410832
[-2194031.56373016 -1264117.96794912 -6463668.43068564],[ 1059.56513302  7350.64362064 -1938.31218135],[-2194529.06060995 -1263698.64094908 -6464416.6065318 ],[ 1058.36734541  7347.68095414 -1938.95961032],[ 777.50481958  508.61742983 -346.26570832],[ 2.08315558 -3.7251365  -0.32624111],[-0.53980424 -0.51392996  0.06498511],[-0.17440657  0.07006056 -0.09766624],0.1024456269472546,6.868214392928067
[-2183306.04141008 -1190538.0377955  -6482666.89561515],[ 1085.51552878  7365.19555651 -1861.35091772],[-2183819.76049433 -1190148.15151579 -6483428.93975872],[ 1083.8918724   7362.24664514 -1862.74648008],[ 806.17627571  472.40195986 -351.49123203],[ 2.8412096  -3.65313268 -0.52085105],[0.58027922 0.50650709 0.1875471 ],[-0.17302007 -0.14012003  0.04051086],0.12441628790413557,6.023482136634809
[-2172321.73439219 -1116816.99513758 -6500894.86803477],[ 1111.32155354  7378.86600105 -1784.21535215],[-2172839.35505551 -1116447.59714529 -6501661.80162113],[ 1110.92992563  7376.8125697  -1784.71332789],[ 820.43862329  444.17241474 -349.52036433],[ 1.40953239 -2.838647    0.19881679],[ 0.04874706 -0.21050913  0.03944229],[-0.16663024 -0.15053007  0.08698622],0.04318779133386845,4.2396692343139595
[-2161080.10191017 -1042963.65828718 -6518350.65510925],[ 1136.98010734  7391.65429607 -1706.91552149],[-2161586.93416179 -1042623.66738491 -6519112.39398028],[ 1138.05743878  7388.70928278 -1706.40521112],[ 821.4780946   407.25803806 -334.7140318 ],[ 0.07781347 -3.69248883  1.48232087],[-0.33339536 -0.27272455  0.21130048],[0.04062155 0.06479765 0.08609325],0.08258775299589508,2.2396692343139595
[-2149582.63405342  -968986.85149327 -6535032.6643695 ],[ 1162.48811906  7403.55991225 -1629.46146184],[-2150094.08312599  -968666.82221997 -6535791.9225198 ],[ 1162.02492525  7401.55972814 -1629.22267313],[ 827.80307703  377.63267633 -335.5703441 ],[ 0.61448245 -2.96944344 -0.0839428 ],[ 0.09603062 -0.08683529  0.30151239],[ 0.28339338 -0.15186726 -0.07469356],0.03394448761153356,0.41318821727671806
[-2137830.85147658  -894895.40365576 -6550939.40369672],[ 1187.84254683  7414.58244864 -1551.86320687],[-2138343.54221716  -894594.91774319 -6551694.08074135],[ 1187.7168877   7412.62435716 -1551.41449245],[ 830.49988403  348.48307655 -333.93189246],[ 0.25228243 -2.91786683  0.16555001],[-0.56606331 -0.36217076 -0.02470474],[ 0.28646356  0.03468036 -0.15100084],-0.9579533397132088,0.0
[-6211229.17022838  2020020.1797477  -2368636.09102806],[  501.41261213 -4993.12568233 -5673.9474734 ],[-6211278.01926395  2020287.96225442 -2368198.55936685],[  501.31912614 -4993.42300828 -5673.59243332],[ -27.63722628 -507.36998929   85.67106532],[-0.67706737 -0.04545082  0.44958753],[0.3877967  0.51776324 0.74650047],[3.56499278e-05 4.47912663e-05 7.95896653e-05],-0.19383769385508043,49.2907915229855
[-6205845.85196974  1969969.80479027 -2425233.21379891],[  575.23806317 -5016.84937329 -5645.36550772],[-6205887.75424207  1970228.79119057 -2424809.59977528],[  575.93355343 -5017.73071754 -5646.75960977],[ -37.00740079 -490.29347089   80.75494829],[-0.91895024  1.71775254 -0.49241667],[0.60306772 0.77080528 0.06027183],[ 0.24847907 -0.19847522 -0.00185291],-0.05396074101017977,47.2907915229855
[-6199724.68312216  1919685.19530557 -2481541.17589243],[  648.98126846 -5039.97216009 -5616.11595659],[-6199764.16115172  1919934.7158983  -2481126.15575936],[  649.22460694 -5040.92045356 -5616.97756709],[ -44.05863757 -476.97340336   81.33855672],[-0.69130247  1.33959522  0.05756767],[ 0.02872139  0.10314552 -0.65467225],[ 0.09983007 -0.1783093   0.05837062],-0.0942485930092892,46.58479011049402
[-6192866.52995691  1869172.37304196 -2537553.32014184],[  722.63346825 -5062.49151378 -5586.20257032],[-6192916.89751782  1869412.35109749 -2537147.53342246],[  721.54544775 -5063.44741213 -5587.12808069],[ -38.74467098 -464.36130363   87.50228639],[0.54441638 1.25532181 0.61555648],[ 0.03681622 -0.51647601 -0.31391564],[ 0.10366271 -0.05525455 -0.02348741],-0.1020724087922342,45.25022266247464
[-6185272.34625098  1818437.38466515 -2593263.02726535],[  796.18592131 -5084.40497985 -5555.62917549],[-6185331.08692889  1818675.90451248 -2592856.79543464],[  795.34954812 -5084.55240072 -5555.58683044],[ -36.89790989 -464.16982282   92.47380668],[0.18422557 0.01708321 0.49630571],[-0.10223771  0.47525204 -0.01637351],[ 0.11831004 -0.31631505 -0.08064509],-0.26042811916307723,43.9593453586264
[-6176943.17309683  1767486.30101306 -2648663.71662583],[  869.62990595 -5105.7101784  -5524.39967435],[-6176999.71044843  1767731.54175886 -2648246.52119715],[  869.85127437 -5105.03973307 -5523.30548044],[ -46.38142602 -475.99654129   93.09982402],[-0.96195468 -1.17234688  0.06173732],[ 0.2863025  -0.15524866 -0.55886559],[ 0.14641266 -0.00788604 -0.1587882 ],-0.10323466562011885,42.255141751535135
[-6167880.13870211  1716325.21634938 -2703748.84698439],[  942.95672098 -5126.4048042  -5492.5180442 ],[-6167942.25101296  1716578.23908482 -2703320.62302735],[  942.40035524 -5125.62830974 -5491.41738218],[ -48.9859808  -489.43639033   96.4706935 ],[-0.27592885 -1.34115128  0.33619405],[ 0.73381197 -0.02283135 -0.47644916],[-0.08423049  0.19562057  0.01279461],-0.10657035960422914,41.4674565074233
[-6158084.45817958  1664960.24761573 -2758511.91724785],[ 1016.15768674 -5146.4866269  -5459.98833678],[-6158148.43687272  1665208.82702058 -2758082.86078663],[ 1015.97226349 -5146.93267403 -5459.90726475],[ -54.056476   -486.70478605  100.85033091],[-0.50496954  0.27861277  0.43703158],[ 0.1157079  -0.18992316  0.32569391],[-0.39730746  0.10740354  0.21807138],-0.22139317602494127,39.83873794949112
[-6147557.43332708  1613397.53368276 -2812946.46720993],[ 1089.22414603 -5165.95349108 -5426.81467763],[-6147614.76918433  1613632.79760067 -2812501.88867219],[ 1089.88986313 -5167.28674927 -5425.26459282],[ -74.60365934 -487.10310411  115.98037679],[-2.05626139 -0.0175127   1.51199991],[-0.74804533  0.16851987 -0.11311546],[-0.09311511  0.17174473  0.21200216],-0.007377081596720875,37.922656231089405
[-6136300.45239781  1561643.23459996 -2867046.07828619],[ 1162.14746514 -5184.8033164  -5393.00126547],[-6136336.20023635  1561860.60281094 -2866596.59476836],[ 1164.30802682 -5186.5945998  -5392.51273145],[-105.00727731 -474.07354427  121.6142518 ],[-3.0277238   1.335943    0.56232481],[ 0.06570158  0.64067146 -0.11666577],[ 0.12136496 -0.0730291   0.23067055],0.04608120463189194,36.038650195321694
[-6124314.98986079  1509703.53084453 -2920804.37424274],[ 1234.91903478 -5203.03409768 -5358.55237157],[-6124331.1847792   1509903.46614901 -2920339.73216236],[ 1236.87646282 -5204.77910809 -5357.03829786],[-137.54734055 -468.3381828   133.67400592],[-3.24987277  0.60886937  1.20485806],[ 0.24898405  0.11438112 -0.03689555],[-0.10317909 -0.07682575  0.05789406],0.06383531412274916,34.98764732899558
[-6111602.60615173  1457584.62256915 -2974215.0219186 ],[ 1307.53027106 -5220.64390501 -5323.47233915],[-6111596.83042149  1457757.56840262 -2973741.47680235],[ 1309.72986582 -5223.34453967 -5322.58361117],[-171.42416112 -450.53681789  147.71232248],[-3.37100029  1.81686305  1.40263415],[-0.17401015  0.16895048 -0.10672219],[-0.08702853  0.14072136 -0.13144646],0.09166994475147597,33.82572663636323
[-6098164.9474142   1405292.7288489  -3027271.73194167],[ 1379.97261646 -5237.63088384 -5287.76558266],[-6098133.02488509  1405444.30031569 -3026790.84848289],[ 1382.59021786 -5239.76997523 -5287.03307877],[-206.77258652 -434.07790398  155.1235929 ],[-3.52023997  1.68420896  0.7398811 ],[-0.03797597 -0.49269603  0.53538123],[-0.15135441  0.35914589 -0.11375345],0.09100503002812659,33.10975952651787
[-6084003.74523129  1352834.08692729 -3079968.25943828],[ 1452.23754075 -5253.99325505 -5251.43658722],[-6083954.19926419  1352977.16955071 -3079468.29892509],[ 1454.00317447 -5254.84380368 -5249.53002428],[-237.01287413 -435.64957663  164.08015909],[-3.02964754 -0.12435194  0.89436861],[-0.44947962 -0.03371151 -0.30042884],[-0.11977641  0.16935957  0.03477733],0.03394116192600703,31.163040707907815
[-6069120.81634771  1300214.95146157 -3132298.40473635],[ 1524.316542   -5269.72931502 -5214.48990793],[-6069068.12889709  1300357.03569893 -3131780.45796528],[ 1524.63424387 -5269.83083579 -5212.69233813],[-252.77406494 -444.05799982  173.63905237],[-1.5896034  -0.82377515  0.95453994],[-0.19346707  0.23755973 -0.21549525],[ 0.07890416 -0.04993185  0.16256503],-0.04751336851028427,29.52156736800099
[-6053518.06238239  1247441.5937673  -3184256.01406192],[ 1596.20114746 -5284.83743572 -5176.9301692 ],[-6053475.97957714  1247589.84807145 -3183717.01897453],[ 1595.14438583 -5284.22212582 -5174.82641415],[-256.89256711 -462.22491608  186.0654222 ],[-0.43614321 -1.81227065  1.24120796],[-0.18641816 -0.01797976  0.29723208],[-0.19961125 -0.05874701  0.11891818],-0.02798897127258202,27.933098886830432
[-6037197.46953164  1194520.30106228 -3235834.98022915],[ 1667.88291454 -5299.31606474 -5138.76206413],[-6037170.05135192  1194668.71282365 -3235290.60644275],[ 1666.4201904  -5299.30198724 -5138.22531688],[-251.65149192 -466.43911015  195.51652091],[ 0.51500439 -0.42725313  0.94359914],[-0.64833629 -0.15964123  0.52542784],[-0.1861321  -0.03457736  0.1316195 ],-0.14618636560746262,26.20772423790223
[-6020161.10826299  1141457.37571002 -3287029.24332375],[ 1739.35343175 -5313.16372535 -5099.99035382],[-6020145.10338105  1141606.38744505 -3286473.29832922],[ 1738.21588163 -5313.10535998 -5098.83438995],[-252.20293554 -474.53370252  206.75331883],[-0.06842186 -0.80898276  1.12209718],[0.2160026  0.14589614 0.06306506],[-0.18553278  0.1294121   0.09416212],-0.10520021483606887,25.508122636225835
[-6002411.13299956  1088259.13446265 -3337832.79137964],[ 1810.60431963 -5326.37901657 -5060.61986669],[-6002400.44460869  1088414.78440231 -3337275.00111583],[ 1810.07648878 -5325.71682215 -5060.43648972],[-252.60961    -478.95877533  205.56750786],[-0.0499588  -0.44221445 -0.12019318],[0.12902022 0.09017471 0.47910123],[ 0.03105523 -0.06498058  0.08307264],-0.2524679392727699,24.21487120456167
[-5983949.78179522  1034931.90770353 -3388239.6610489 ],[ 1881.62723163 -5338.96061314 -5020.65549785],[-5983942.2833139   1035105.4516869  -3387676.67316261],[ 1881.31209496 -5337.17288826 -5020.13686231],[-254.93064643 -493.06077042  197.56149341],[-0.2519448  -1.4077869  -0.80218854],[0.82462688 0.23632338 0.1457741 ],[ 0.29027247 -0.24820126 -0.06435261],-0.08027209167463135,23.01892917746638
[-5964779.3760005    981482.03868952 -3438243.93826487],[ 1952.41385513 -5350.90726562 -4980.10220834],[-5964779.55576243   981660.93154346 -3437660.85484446],[ 1951.65000142 -5350.37409488 -4978.09378504],[-262.87466184 -509.23674132  208.7194627 ],[-0.81658202 -1.60905432  1.11416429],[ 0.28626979 -0.20354892  0.62688133],[ 0.16688161 -0.2509017  -0.07044532],-0.04120047344727739,21.01892917746638
[-5944902.31991918   927915.88279308 -3487839.75889845],[ 2022.95591225 -5362.21780034 -4938.96502449],[-5944916.04476402   928098.06990314 -3487235.38506357],[ 2021.60551247 -5361.89009182 -4936.83715506],[-267.05834278 -526.20625348  224.57753021],[-0.44152049 -1.69250864  1.58407007],[-0.71873794 -0.23751579 -0.00820641],[ 0.11931248 -0.24532789  0.04222824],-0.007043515917448293,20.379136758726837
[-5924321.10045588   874239.80674417 -3537021.30940738],[ 2093.24516085 -5372.89111945 -4897.24903724],[-5924339.8989274    874428.99644412 -3536395.05514301],[ 2092.74207781 -5372.19259572 -4895.0621782 ],[-278.69186301 -543.78436555  234.45668688],[-1.18729671 -1.74527921  0.98608834],[ 0.44553478  0.0416217  -0.61777898],[-0.1051607  -0.09863765  0.20880429],-0.011774783011434628,19.458556194283737
