sim_time,r_DC_Hc,v_DC_Hc,sigma_BN,reward,dV_remaining,hill_x,hill_y,hill_z,sigma_1,sigma_2,sigma_3
31.5,[582.17966605 507.17659235  33.43852573],[2.97893906 0.00392584 1.46174104],[-0.58520857 -0.59479023 -0.32898167],-0.6599936664882572,46.630584740303256,582.179666046128,507.1765923494772,33.43852572863336,-0.5852085669635186,-0.594790230556988,-0.3289816698097506
32.0,[612.47003334 507.18587159  48.26851095],[ 3.03787832 -0.02895963  1.48227788],[-0.57615619 -0.61170351 -0.31786992],-0.6983024618827964,46.5771019582397,612.4700333375023,507.1858715918284,48.26851095271249,-0.5761561909485796,-0.611703508505819,-0.3178699200390287
32.5,[643.35103732 506.86039446  63.30315698],[ 3.09706554 -0.06299513  1.50266647],[-0.56600233 -0.62432695 -0.30296525],-0.7363084643195404,46.52361917617615,643.3510373206492,506.86039445773656,63.30315697627806,-0.5660023340472182,-0.6243269512764259,-0.302965245676327
33.0,[674.82513146 506.18863224  78.54096765],[ 3.15649549 -0.09818553  1.5229049 ],[-0.55091894 -0.63414633 -0.28923033],-0.7740221560099292,46.47013639411259,674.8251314550093,506.18863223531173,78.54096765349796,-0.5509189424170053,-0.6341463256728742,-0.2892303262023219
33.5,[706.89471673 505.15900787  93.98042758],[ 3.21616291 -0.13453563  1.54299125],[-0.53474202 -0.64595022 -0.2796594 ],-0.8114535037499362,46.41665361298649,706.8947167292266,505.15900786941785,93.98042758419709,-0.534742015113139,-0.6459502195488885,-0.2796593952810817
34.0,[739.56214151 503.75989677 109.62000223],[ 3.27606253 -0.17205013  1.56292365],[-0.52253458 -0.66017213 -0.27040887],-0.8486119829451176,46.36317083186038,739.5621415072477,503.7598967705728,109.6200022294562,-0.5225345774852749,-0.6601721286835276,-0.27040887232232225
34.5,[772.82970137 501.97962755 125.45813806],[ 3.33618906 -0.2107337   1.58270022],[-0.51266682 -0.67214097 -0.25718367],-0.8855066010264484,46.309688050005676,772.8297013686202,501.9796275529642,125.45813806359776,-0.512666823769997,-0.6721409695619163,-0.2571836670520068
35.0,[806.69963895 499.8064828  141.49326267],[ 3.39653721 -0.2505909   1.60231909],[-0.49954061 -0.6795705  -0.24215755],-0.9221459181051086,46.25620526815097,806.6996389510712,499.8064827987511,141.4932626745232,-0.49954061383826714,-0.6795705011335592,-0.2421575476746119
35.5,[841.17414374 497.22869979 157.72378492],[ 3.45710164 -0.29162622  1.62177843],[-0.48249596 -0.68651436 -0.23015938],-0.9585380679174365,46.20272248937551,841.1741437384751,497.2286997894624,157.72378491533712,-0.4824959573851337,-0.6865143583623076,-0.23015937513254425
36.0,[876.25535198 494.23447131 174.14809501],[ 3.51787702 -0.33384407  1.64107638],[-0.46655754 -0.69696901 -0.2205984 ],-0.9946907810363085,46.14923971060005,876.255351977666,494.2344713091748,174.148095009303,-0.4665575424612138,-0.6969690095972261,-0.22059839740271867
36.5,[911.94534645 490.81194636 190.7645647 ],[ 3.57885801 -0.3772488   1.66021114],[-0.45439973 -0.7085256  -0.20855455],-1.0306113986587109,46.09575693563242,911.9453464467764,490.811946362739,190.7645646952877,-0.45439973413311086,-0.708525602267696,-0.20855455082566304
37.0,[948.24615635 486.94923097 207.57154736],[ 3.64003923 -0.42184468  1.67918089],[-0.44232379 -0.71608261 -0.19268599],-1.0663068966880416,46.042274160664796,948.2461563519117,486.94923096925527,207.57154735685498,-0.4423237902852435,-0.7160826081844107,-0.19268599268022496
37.5,[985.15975717 482.6343889  224.56737814],[ 3.7014153  -0.4676359   1.69798383],[-0.4260914  -0.72003133 -0.17724717],-1.10178389958195,45.98879138355537,985.1597571730418,482.63438890097945,224.5673781426127,-0.4260913960427068,-0.7200313288727923,-0.17724716777348723
38.0,[1022.68807041  477.85544244  241.75037412],[ 3.76298082 -0.51462656  1.71661818],[-0.40887046 -0.72634959 -0.16728898],-1.1370486949305931,45.93530860644595,1022.6880704069104,477.85544243834084,241.75037412341277,-0.40887045583338166,-0.7263495898099386,-0.16728897781739077
